id_cliente,edad,nivel_educacion,limite_credito,monto_facturado_mes,monto_pagado_mes,meses_mora,incumplio_pago
C-0576,34,universitaria,580000,420115,0,1,si
C-0577,29,posgrado,240000,236883,8636,0,no
C-0578,54,media,500000,0,0,0,si
C-0579,53,media,10000,9917,3400,2,si
C-0580,53,media,30000,8615,1500,0,no
C-0581,24,universitaria,150000,9514,15046,0,no
C-0582,23,universitaria,20000,18963,1300,0,si
C-0583,27,universitaria,170000,2697,0,0,no
C-0584,27,universitaria,40000,40933,0,1,no
C-0585,29,universitaria,390000,6664,6931,0,no
C-0586,24,universitaria,50000,10912,2152,0,no
C-0587,30,universitaria,130000,780,390,0,no
C-0588,27,universitaria,150000,118533,3375,0,no
C-0589,36,universitaria,160000,8700,5183,0,no
C-0590,47,universitaria,20000,390,780,0,si
C-0591,39,posgrado,110000,18310,1327,0,no
C-0592,34,universitaria,20000,16912,0,0,no
C-0593,34,media,20000,17692,2000,0,no
C-0594,30,media,100000,50512,2000,0,no
C-0595,39,posgrado,200000,0,0,1,no
C-0596,47,universitaria,50000,11325,1504,0,no
C-0597,32,universitaria,10000,9299,1132,2,no
C-0598,38,universitaria,30000,315,923,0,no
C-0599,30,posgrado,240000,0,0,0,no
C-0600,39,media,220000,188948,8500,0,no
